LoanStatus,CurrentLoanAmount,Term,CreditScore,AnnualIncome,MonthlyDebt,YearsofCreditHistory,MonthsSinceLastDelinquent,NumberofOpenAccounts,Bankruptcies,CurrentCreditBalance,MaximumCredit
Fully Paid,99999999,Long Term,745,1617964,25347.9,11.1,NA,8,0,381786,1364396
Fully Paid,262834,Short Term,719,2085193,14526.83,11,14,18,0,160303,335632
Charged Off,89254,Short Term,719,317946,2313.06,9.5,NA,4,0,30229,42394
Fully Paid,99999999,Short Term,700,1233271,9886.65,24.7,13,7,0,43092,158400
Fully Paid,621412,Short Term,717,1878378,40385.26,27.4,26,14,0,456950,610258
Fully Paid,306790,Short Term,745,1154478,23282.03,18.1,69,11,0,127642,210540
Fully Paid,222068,Short Term,739,1054823,24612.41,11.6,NA,9,0,142272,195426
Fully Paid,152240,Short Term,750,1746860,27935.32,19.4,NA,16,0,214795,1281962
Fully Paid,418440,Long Term,,,25497.81,10.5,60,14,1,81149,155320
Fully Paid,330000,Short Term,748,1216000,14794.73,21.8,NA,13,0,325717,1132560
Fully Paid,337370,Short Term,743,1553896,23450.75,25,50,6,0,308617,1308978
Fully Paid,62568,Short Term,729,563901,6954.76,17,71,7,1,38342,71852
Fully Paid,166144,Short Term,,,1324.49,17,79,3,0,76589,183964
Fully Paid,530684,Long Term,696,1489562,34632.25,23.9,2,12,0,670453,902682
Fully Paid,143858,Short Term,,,16236.83,13,12,13,0,200944,385836
Fully Paid,323466,Short Term,728,1303666,12819.3,7.9,NA,10,0,126711,431552
Fully Paid,309408,Long Term,,,15031.47,9.5,NA,10,0,252111,525998
Fully Paid,472406,Long Term,,,14920.32,17.5,NA,14,0,656298,1007864
Fully Paid,99999999,Long Term,687,1882995,40641.38,19.1,NA,17,0,689415,919666
Fully Paid,240702,Long Term,,,9787.85,14.2,38,7,0,91333,236610
Fully Paid,267146,Short Term,,,15361.69,16,NA,10,0,524134,1125982
Fully Paid,178706,Short Term,,,11806.98,12.4,82,7,0,155515,370502
Fully Paid,506308,Long Term,715,2471482,25950.58,11,NA,21,0,431490,1277782
Fully Paid,304216,Short Term,703,1257344,13725.98,12.3,31,7,0,127414,165220
Fully Paid,155276,Short Term,747,708833,11636.74,20.4,NA,6,0,155002,201894
Fully Paid,209242,Short Term,715,403712,10698.33,12.1,NA,19,0,256006,726550
Fully Paid,158246,Long Term,727,1594404,19930.05,14.5,NA,10,1,115691,213290
Fully Paid,70378,Short Term,718,1177772,18942.43,18,NA,26,0,314184,679976
Fully Paid,146608,Short Term,748,1294470,10064.49,15.7,36,8,0,126293,362846
Charged Off,261404,Short Term,7290,677293,9256.42,15.8,39,7,0,142329,179520
Charged Off,477884,Long Term,7180,1051232,25054.54,12.8,43,10,1,247912,371844
Charged Off,225280,Short Term,736,1303552,21943.1,14.5,32,11,0,289465,723910
Charged Off,175428,Short Term,7150,681815,6022.62,12,NA,5,0,38570,65780
Charged Off,217580,Short Term,746,845595,14022.76,31,NA,8,0,506388,722084
Fully Paid,107800,Short Term,711,893665,9979.37,9.5,NA,2,0,12122,38764
Fully Paid,99999999,Short Term,740,1160292,7851.37,18.5,NA,12,1,155857,515658
Fully Paid,486618,Short Term,,,20282.12,25,NA,12,0,392806,818048
Charged Off,177188,Short Term,,,19416.1,18.8,NA,9,0,410210,598224
Fully Paid,768306,Long Term,662,1668314,15014.94,16.8,3,10,0,237158,504790
Fully Paid,471724,Long Term,725,922393,21907,22.1,NA,8,0,340708,591470
Fully Paid,112354,Short Term,,,9292.71,16.2,NA,4,0,49191,112354
Fully Paid,384252,Short Term,718,1470733,18751.86,16.5,NA,8,0,272365,430254
Charged Off,457358,Long Term,6650,990983,26839.4,12.3,33,9,0,199500,248930
Fully Paid,108878,Short Term,719,1843000,30148.63,14.5,52,11,0,615049,1336148
Charged Off,545996,Short Term,712,1791833,25533.53,32.3,6,7,0,156465,366762
Charged Off,93522,Short Term,704,933755,24977.97,14.1,NA,11,0,836399,1029182
Charged Off,316998,Long Term,6940,1040611,27576.22,23,NA,17,0,495653,1236862
Fully Paid,183722,Short Term,,,744.8,26.9,NA,4,1,7391,50336
Fully Paid,774092,Short Term,735,1528056,15153.07,9.7,NA,16,0,160493,475244
Charged Off,177782,Short Term,,,25218.13,19.2,32,5,0,3819,62282
Fully Paid,151514,Short Term,739,467305,5373.96,14.5,NA,6,0,170886,255310
Fully Paid,103048,Short Term,741,1838421,7797.98,14.4,26,5,0,1201218,1887204
Fully Paid,388124,Short Term,742,1685376,39185.03,14.8,46,18,0,249869,512072
Charged Off,93676,Short Term,6990,595118,4711.24,19.2,NA,9,0,45942,109890
Fully Paid,73986,Short Term,744,883272,15825.1,26,NA,15,0,43795,473858
Fully Paid,550176,Short Term,749,2280684,30219.12,32,NA,17,0,251389,592834
Fully Paid,99999999,Short Term,725,1731033,26109.8,18.7,30,3,0,34998,42306
Fully Paid,406758,Long Term,694,904096,18082.11,20.3,NA,18,0,452675,589600
Charged Off,404910,Long Term,673,901835,13302.09,16.6,79,18,0,291194,657272
Fully Paid,223828,Short Term,737,773224,10696.24,22.5,10,7,0,254809,340318
Fully Paid,276496,Short Term,746,802731,17124.89,12.7,NA,7,0,96368,258896
Fully Paid,487124,Long Term,681,1054728,13272.07,15.1,NA,10,0,684722,838090
Charged Off,54538,Short Term,,,941.83,23,NA,5,0,8721,673310
Charged Off,301686,Long Term,706,727833,21107.1,15.2,57,7,0,135983,221144
Charged Off,314688,Short Term,,,21248.08,25.8,14,13,0,227145,286814
Fully Paid,110946,Short Term,739,1343661,19874.95,17.1,44,8,0,53485,84370
Fully Paid,99999999,Long Term,717,4706300,82360.25,26.6,48,21,0,584497,843876
Fully Paid,186010,Short Term,728,611800,3747.18,8.1,NA,7,0,71649,128436
Fully Paid,444620,Short Term,,,20399.54,17,19,12,0,221882,464596
Fully Paid,49478,Short Term,714,364819,0,29.6,62,8,0,0,0
Fully Paid,99999999,Long Term,672,1985177,21340.61,20.1,38,9,0,483721,618222
Charged Off,223674,Long Term,744,1120411,7011.76,30.8,NA,11,0,397442,2675508
Charged Off,471042,Long Term,,,20186.17,16,NA,11,0,138320,834152
Fully Paid,308594,Long Term,722,1237356,21962.86,14.7,23,11,0,83372,244420
Charged Off,252164,Long Term,,,18067.29,20,NA,19,0,386916,1217392
Fully Paid,150546,Short Term,713,557232,3733.5,37.1,12,8,0,91466,131384
Fully Paid,193820,Short Term,,,4047.19,25.1,58,11,0,126635,228756
Fully Paid,446556,Long Term,672,1625830,15987.36,16.1,59,10,0,260756,406912
Fully Paid,348898,Short Term,666,1138860,797.24,16.5,NA,6,1,27075,121000
Charged Off,269918,Short Term,743,1592903,23362.59,12,NA,12,0,430958,672518
Fully Paid,600050,Short Term,,,29455.89,26.7,NA,17,0,424137,864600
Fully Paid,783486,Short Term,721,2126575,44480.71,15.8,57,17,0,519745,877294
Fully Paid,269544,Short Term,716,872955,9384.29,15.5,26,11,0,279509,437932
Fully Paid,369578,Short Term,,,26386.25,17.7,NA,19,0,193097,278432
Charged Off,233046,Short Term,7380,2401847,40630.93,30,7,9,0,125913,278234
Fully Paid,214720,Long Term,719,1173915,14184.64,26,65,9,1,61750,167464
Fully Paid,438548,Short Term,,,22511.77,15.7,44,19,0,392236,921206
Charged Off,437096,Long Term,701,1132476,28972.53,16.5,27,17,0,180766,264594
Fully Paid,349932,Long Term,744,1076616,8388.69,21.5,NA,17,0,26391,328526
Fully Paid,396264,Short Term,707,1333211,18776.18,16.5,10,10,0,282682,367774
Fully Paid,32450,Short Term,740,2242380,28029.75,15,5,23,0,372286,674608
Fully Paid,99999999,Short Term,737,1355935,21356,16,19,20,0,220115,721996
Fully Paid,326216,Short Term,740,845177,6021.86,19.9,NA,13,0,192470,537020
Fully Paid,126918,Short Term,719,850478,8930,20.8,13,5,0,82194,139964
Fully Paid,656370,Long Term,647,3779100,106444.65,12.5,NA,10,0,572166,975722
Fully Paid,246510,Short Term,,,7657.38,18.6,44,9,0,121125,250426
Fully Paid,436920,Short Term,697,2697981,17761.77,20.8,44,12,0,402211,672980
Fully Paid,189926,Short Term,745,1827933,27571.28,14.4,NA,14,0,390051,673112
Fully Paid,525492,Long Term,724,957961,19638.21,21.7,NA,10,0,495349,705474
Fully Paid,515218,Long Term,618,2410226,55435.16,19.7,NA,13,0,484462,781264
Fully Paid,325248,Short Term,748,2247168,9981.08,27,NA,8,0,335958,1288078
Fully Paid,99999999,Long Term,714,894121,13262.76,12.2,NA,11,1,195434,381612
Charged Off,336468,Short Term,747,1452930,14977.32,19.2,NA,20,0,812744,2036980
Charged Off,260348,Long Term,667,847077,17435.73,17.4,NA,9,0,27455,34694
Fully Paid,99999999,Long Term,717,1368133,17785.71,16.5,NA,9,1,140049,373648
Charged Off,378708,Short Term,7170,742292,6068.22,11.1,NA,6,0,160911,292028
Fully Paid,446204,Short Term,734,3140662,19681.53,18,38,6,0,315571,403744
Fully Paid,444576,Long Term,722,1247844,14246.2,11.1,NA,9,0,334324,613492
Fully Paid,523820,Long Term,722,2808637,18209.41,21.2,80,10,0,727016,1039280
Fully Paid,331518,Long Term,718,1240681,2595.21,29.1,9,6,0,61864,132660
Fully Paid,53834,Short Term,,,7625.84,18.7,NA,10,0,0,0
Fully Paid,212498,Long Term,632,1338113,35460.08,13.5,5,15,1,452048,894762
Fully Paid,99999999,Short Term,731,678300,4244.98,16.4,52,11,1,113107,190630
Fully Paid,292864,Short Term,751,2295808,28697.6,23.7,NA,12,0,266152,806762
Charged Off,471636,Long Term,691,848597,18103.2,22.3,NA,17,0,194864,906202
Fully Paid,313830,Short Term,723,837558,7956.82,16.4,8,5,0,91352,194084
Fully Paid,99999999,Short Term,749,2754392,17926.5,25.5,NA,9,0,433105,1501434
Fully Paid,181038,Short Term,746,709213,7742.31,29.3,0,7,NA,64239,383416
Fully Paid,99999999,Short Term,709,2330122,35708.98,26,NA,17,0,107654,157586
Fully Paid,658548,Long Term,715,2123326,53436.93,18,NA,16,0,679592,1169234
Fully Paid,99999999,Short Term,710,1801219,10942.48,9.1,NA,5,0,101536,138974
Fully Paid,99999999,Short Term,735,469452,1275.47,18.1,25,5,1,49096,473814
Fully Paid,26488,Short Term,724,364135,5158.5,8.8,NA,4,0,45524,59620
Charged Off,600776,Long Term,625,3520833,26699.56,17.5,10,7,0,259046,601084
Fully Paid,134618,Short Term,,,29884.53,36.9,NA,13,0,4783706,11963314
Fully Paid,331210,Short Term,698,1631796,21757.28,12.9,55,14,0,195244,408804
Fully Paid,224598,Short Term,738,1086230,5512.66,14.7,NA,9,0,130264,667436
Fully Paid,328922,Short Term,723,946865,11125.64,9.4,NA,16,0,219925,329846
Fully Paid,99638,Short Term,711,1353541,22671.75,16.6,69,11,2,165699,411686
Fully Paid,542080,Long Term,,,31182.61,16.8,70,9,0,19779,141350
Fully Paid,215930,Short Term,,,22815.01,15.6,NA,13,0,279566,492690
Fully Paid,215622,Short Term,748,882569,18019.22,10.8,36,11,0,236170,402160
Fully Paid,472538,Long Term,690,2342776,34751.19,13.8,28,10,0,228703,350284
Charged Off,195558,Short Term,725,1313641,9480.24,15.5,21,5,0,12882,17380
Charged Off,66990,Short Term,7250,482125,6669.38,15.3,NA,13,0,357789,598686
Fully Paid,60236,Short Term,723,836190,15748.34,21,35,9,0,33098,135410
Charged Off,220220,Short Term,736,1261429,36791.6,16.6,47,11,0,460902,1069508
Fully Paid,216876,Long Term,745,1123812,6049.79,15.6,68,11,0,35853,619542
Fully Paid,290224,Long Term,647,1446090,15786.53,15.7,NA,10,0,195871,263428
Fully Paid,90068,Short Term,704,758347,7140.96,10,NA,8,0,366111,700678
Fully Paid,99999999,Long Term,726,369113,4902.95,16.5,NA,4,0,93081,173558
Fully Paid,99999999,Short Term,637,1700253,467.59,8.3,44,3,0,34732,240746
Fully Paid,217756,Short Term,,,26686.07,9.5,46,19,0,170658,572792
Fully Paid,69102,Short Term,680,331968,932.33,29.8,58,6,0,15675,84370
Fully Paid,444048,Short Term,742,1208020,9432.74,23.3,NA,5,0,299022,523820
Charged Off,784630,Short Term,,,22860.04,25.2,42,13,0,74119,2200418
Charged Off,87868,Long Term,7020,398354,6108.12,10.5,NA,4,0,58140,92224
Charged Off,243650,Short Term,7240,427348,8511.24,10.6,29,10,0,144856,239954
Fully Paid,304678,Short Term,687,779988,24634.45,25.7,13,11,0,111473,187066
Fully Paid,220044,Short Term,745,1227324,11403.8,10.9,NA,15,0,2622,276056
Fully Paid,775940,Long Term,723,1627445,26581.38,34.8,NA,15,0,760741,1267420
Fully Paid,420662,Short Term,675,1559178,11654.79,14.4,43,12,1,302252,425216
Fully Paid,498498,Short Term,723,1095160,27561.78,25.6,NA,7,0,449236,648604
Fully Paid,597124,Long Term,619,1162933,32659.1,29.5,NA,23,0,382793,882948
Fully Paid,419694,Short Term,741,1604664,17383.86,20.1,NA,13,0,632054,1145298
Fully Paid,403084,Short Term,684,773604,22563.45,12.6,NA,9,0,303563,568766
Fully Paid,32934,Short Term,742,1782960,7607.41,15.4,51,17,0,101460,799172
Fully Paid,99999999,Short Term,745,970995,4329.15,14,38,10,0,19266,67386
Fully Paid,260084,Short Term,740,1123128,14787.89,16.8,NA,10,0,269382,531366
Fully Paid,144188,Short Term,,,6734.36,17,29,12,0,156199,347138
Fully Paid,661188,Short Term,724,1903420,32199.68,15.8,NA,20,0,461681,867812
Fully Paid,266684,Short Term,748,2495194,15470.18,19.2,32,14,0,276184,1133990
Charged Off,91124,Short Term,739,2436161,45271.87,15,35,12,0,84949,275506
Charged Off,694012,Long Term,,,41967.77,16,NA,13,0,1009907,1234794
Fully Paid,267564,Long Term,724,577695,7461.87,16.9,8,12,0,301302,899162
Fully Paid,286638,Short Term,724,914014,11348.89,33.9,54,12,1,149245,288992
Charged Off,111826,Short Term,717,618032,5768.4,12.3,NA,8,0,152304,219076
Fully Paid,371536,Long Term,721,838223,15087.9,38.2,NA,9,1,127623,188012
Fully Paid,224510,Short Term,737,2423697,31487.75,21.2,6,7,0,39957,89848
Fully Paid,186582,Short Term,737,613833,8031.11,9,13,13,0,126977,437536
Fully Paid,262570,Short Term,,,18937.68,14.5,25,9,0,89908,246708
Fully Paid,85228,Short Term,716,384826,6606.11,9,NA,9,0,144362,258368
Charged Off,350306,Long Term,7340,945440,20571.3,17.7,NA,15,0,115824,515790
Fully Paid,99999999,Short Term,730,799444,15655.81,18.4,NA,8,0,111777,282568
Fully Paid,337986,Short Term,731,827051,9648.77,13.8,28,6,0,118256,313346
Fully Paid,43582,Short Term,725,624872,11143.5,9.9,NA,5,0,40698,63162
Fully Paid,782628,Short Term,724,2035451,49698.87,15.4,NA,18,0,833169,1202872
Fully Paid,415206,Short Term,,,33093.44,20.3,6,20,0,210729,829950
Charged Off,767778,Short Term,,,33406.75,17.5,21,13,0,697471,916696
Fully Paid,224180,Short Term,721,969988,22875.62,20.5,NA,11,1,168245,257686
Fully Paid,99999999,Short Term,714,660478,9466.94,12.8,NA,5,0,36233,87406
Charged Off,270556,Short Term,732,1121532,7458.26,13.8,68,8,0,231287,387552
Fully Paid,292556,Short Term,,,19079.8,29.1,7,16,0,268660,711854
Fully Paid,195778,Short Term,741,1211782,6634.42,17.5,33,9,0,103151,171842
Charged Off,518452,Short Term,741,5969952,21491.85,28,8,12,0,64714,841984
Charged Off,198990,Short Term,704,1432125,30074.72,20.6,23,20,1,418760,772090
Fully Paid,224796,Short Term,748,1611371,6083.04,20.2,12,16,0,322183,2049718
Charged Off,90112,Short Term,,,7831.04,11,18,8,0,50179,202444
Fully Paid,99999999,Short Term,742,872024,19911.05,10.9,NA,6,0,31996,339856
Fully Paid,390544,Long Term,713,1488688,34363.97,18.7,NA,6,0,998279,1379356
Fully Paid,537922,Long Term,665,1033410,23337.51,14.4,NA,19,0,527003,938784
Fully Paid,614064,Long Term,742,971280,20801.58,15.9,NA,9,0,89509,616946
Fully Paid,220814,Short Term,712,629318,6718.02,14.9,38,6,0,220020,260502
Charged Off,548966,Short Term,714,2213766,28594.62,14.6,NA,11,0,501372,1192048
Fully Paid,381766,Short Term,724,836437,20771.56,19.9,NA,12,0,423928,841962
Charged Off,332090,Long Term,6960,909245,3364.14,9.8,NA,11,0,154964,443036
Fully Paid,121176,Short Term,,,26259.33,11.8,15,14,0,241471,427526
Fully Paid,778932,Long Term,693,3360245,65524.92,22,37,17,0,1236976,1627582
Fully Paid,145442,Short Term,716,1120734,21480.83,15,51,7,0,19570,145288
Fully Paid,108130,Short Term,750,1945410,4782.49,9.3,NA,12,0,191387,849068
Fully Paid,267344,Short Term,733,1116003,14972.95,22.9,54,15,2,150556,633952
Fully Paid,99999999,Long Term,708,1137606,21140.73,24.3,NA,14,0,303221,536008
Charged Off,395208,Long Term,,,63484.7,10.1,NA,18,0,995866,1606000
Fully Paid,264396,Short Term,742,1331995,13542.06,13.6,78,9,1,223478,356906
Fully Paid,554246,Short Term,749,3589993,12505.23,31.4,NA,13,0,227240,1414600
Fully Paid,78716,Short Term,750,793060,4341.88,19.7,NA,6,0,47595,249392
Charged Off,237380,Short Term,732,697775,5425.26,13.2,NA,7,0,261953,1064228
Fully Paid,330176,Short Term,744,1178589,22786.13,6.2,NA,16,1,279471,493306
Fully Paid,99999999,Short Term,745,524647,10842.73,33.3,NA,7,0,167048,215886
Fully Paid,113674,Short Term,720,1153851,10192.36,25.9,NA,5,1,53618,103488
Fully Paid,445456,Long Term,699,1057958,14458.81,20.3,1,5,0,205181,340868
Fully Paid,439780,Short Term,694,1519240,12242.65,28.5,8,7,0,260452,674674
Fully Paid,217492,Long Term,,,25302.68,13.8,NA,25,0,643302,1171170
Charged Off,385220,Long Term,7090,2330274,27574.89,15,NA,10,1,207518,306086
Fully Paid,99999999,Short Term,732,797620,11964.3,40.3,NA,18,1,241547,749826
Fully Paid,260172,Short Term,702,1305262,19470.25,7,NA,7,0,185839,248182
Fully Paid,30580,Short Term,642,924293,11938.84,25.4,21,3,0,0,0
Fully Paid,647394,Long Term,,,27949.95,18,NA,7,0,722988,1012264
Charged Off,94578,Short Term,7050,498598,8808.4,10.4,NA,8,0,96824,262570
Charged Off,88330,Short Term,698,310878,6891.11,24.2,NA,11,0,110865,346962
Charged Off,787248,Short Term,,,8935.7,13.6,11,6,0,98572,384274
Fully Paid,252604,Short Term,719,870713,7473.65,17.4,21,5,0,215517,706926
Charged Off,175252,Short Term,738,662207,10429.67,18.3,30,8,0,200697,374836
Fully Paid,67166,Long Term,682,1933820,42060.68,27.4,NA,11,0,679725,927014
Fully Paid,538252,Short Term,,,16637.54,14.7,NA,12,0,1751458,3380014
Fully Paid,21802,Short Term,714,753388,18583.71,12.3,NA,12,0,64505,150590
Fully Paid,276738,Short Term,738,1405012,29622.52,18.5,2,10,0,66728,234146
Fully Paid,156926,Short Term,725,752932,7215.63,12.8,22,10,0,341658,766678
Charged Off,605396,Short Term,748,1493856,23528.27,18.9,NA,15,0,400444,1253164
Fully Paid,91410,Short Term,721,979640,13959.87,15.1,2,11,0,710220,3469862
Fully Paid,112706,Short Term,716,973370,13302.66,7,55,9,0,118750,351670
Charged Off,365970,Long Term,623,1830802,12952.87,13.6,31,9,0,169233,437382
Charged Off,540100,Long Term,7270,3303967,9416.4,18,28,6,0,28785,112596
Fully Paid,503162,Long Term,742,1313109,15811.99,15.8,NA,9,0,242953,963402
Fully Paid,58520,Short Term,749,1869999,280.63,23.8,NA,8,0,23750,1375242
Fully Paid,100012,Short Term,703,1297624,4033.32,20.6,49,6,0,82023,148852
Fully Paid,169774,Short Term,729,427234,10574.07,11.2,NA,8,0,113069,224928
Fully Paid,673552,Long Term,,,22790.88,31,NA,8,0,790001,1258246
Fully Paid,178310,Short Term,741,1020186,18023.4,16.4,21,11,0,177384,673398
Fully Paid,754842,Short Term,721,1560831,16518.79,16.1,NA,8,0,373217,643082
Fully Paid,228756,Long Term,719,820040,13803.88,25.2,48,10,2,49248,298496
Fully Paid,357104,Long Term,732,2370896,17208.87,7.8,NA,4,0,84246,390236
Fully Paid,226050,Short Term,736,994916,23795.03,12,21,12,0,230223,575740
Fully Paid,402930,Long Term,635,1353275,22328.99,18.5,25,12,0,355946,664774
Fully Paid,262020,Long Term,733,848597,23901.81,11.9,51,15,0,265943,974490
Charged Off,202180,Short Term,745,2182606,22917.23,20.9,NA,12,0,560785,777656
Fully Paid,394526,Long Term,723,1665806,15270.11,22.1,NA,7,0,430179,751278
Fully Paid,216436,Short Term,718,672923,13738.71,6.9,NA,2,0,185440,270446
Fully Paid,69278,Short Term,736,1168538,10302.75,19,40,7,0,315837,498256
Charged Off,62942,Short Term,698,1890690,20009.66,11,29,4,0,175161,0
Charged Off,324500,Short Term,7120,725686,16993.03,15.6,52,15,0,319694,603878
Fully Paid,157542,Short Term,,,29741.27,18.5,28,10,0,2081982,2487848
Fully Paid,236610,Long Term,719,2091045,31888.46,19.6,76,8,1,44517,268488
Fully Paid,336116,Long Term,712,1683590,11925.35,32.2,56,14,0,396226,631928
Fully Paid,145486,Short Term,,,11388.6,22.6,NA,7,0,192698,313808
Fully Paid,358094,Short Term,737,1353009,15447,12.5,NA,13,0,530024,644666
Charged Off,536338,Long Term,6970,1158012,19879.13,15,9,29,0,59812,134222
Fully Paid,99999999,Short Term,746,745788,8222.25,12.3,NA,4,0,56544,107888
Fully Paid,91520,Short Term,725,1174219,32682.47,15,NA,14,0,322563,555808
Fully Paid,722590,Short Term,722,2647498,31769.9,10.6,12,24,0,691467,1370974
Charged Off,199892,Short Term,,,7106.38,25.5,NA,7,0,271434,438372
Fully Paid,527252,Short Term,732,3794680,39527.79,16.5,40,18,0,313481,940346
Fully Paid,42944,Short Term,,,2920.68,13.5,73,15,0,19988,492492
Fully Paid,258544,Short Term,750,2604938,6251.76,18.8,74,6,0,304532,1091706
Fully Paid,254276,Short Term,748,992940,15754.8,26.2,NA,16,0,263283,1825472
Fully Paid,735416,Short Term,,,16143.16,18.5,26,13,0,389671,592130
Fully Paid,263318,Short Term,719,1099131,26653.96,14.5,40,8,0,194256,254452
Fully Paid,588016,Long Term,697,1149804,17917.76,15.3,22,15,0,305311,559372
Fully Paid,169048,Short Term,740,3893100,22969.29,31.8,NA,14,0,103189,675026
Fully Paid,603614,Long Term,627,2930275,36628.39,18,80,19,0,850763,1201332
Fully Paid,99999999,Short Term,745,2306372,10993.59,14.8,NA,13,1,301796,962654
Fully Paid,194040,Short Term,740,1239142,29222.95,11.9,NA,16,0,296115,767030
Fully Paid,456368,Short Term,,,30029.12,26.3,15,18,0,341449,467346
Fully Paid,389378,Long Term,686,1447914,13272.64,14.2,NA,8,0,278901,589292
Charged Off,175956,Short Term,,,16545.39,15.3,NA,4,0,316236,477400
Fully Paid,392546,Short Term,710,838242,9220.7,26.3,37,7,0,299003,511390
Fully Paid,315370,Short Term,747,683715,12819.68,22.6,17,11,0,147212,291368
Fully Paid,237248,Long Term,640,1769622,30820.85,17.8,22,19,0,397803,1019084
Fully Paid,267520,Long Term,693,2310324,12225.55,25.7,NA,9,0,142918,686642
Charged Off,247566,Long Term,691,1107187,6467.79,8.6,NA,8,0,135831,249656
Fully Paid,451352,Short Term,736,4524888,26809.95,25.8,NA,13,1,141569,364298
Fully Paid,715264,Long Term,727,1640840,21467.53,22.7,NA,10,0,59470,695618
Fully Paid,81004,Short Term,,,16340.38,17.8,54,11,1,53675,312334
Fully Paid,456324,Short Term,745,1047717,18841.54,31,NA,9,0,877344,1271424
Fully Paid,331540,Long Term,685,1193428,13028.3,16,52,10,0,171912,278784
Fully Paid,603548,Long Term,704,1136238,35602.2,19.2,NA,13,0,571938,992882
Fully Paid,99999999,Short Term,750,1338322,9122.85,16.8,NA,10,0,16150,296890
Fully Paid,778712,Long Term,683,2593994,25723.72,24.5,NA,11,0,1004910,1820940
Charged Off,762762,Long Term,6650,2164461,20021.25,16.2,14,14,0,797924,2030600
Charged Off,160336,Short Term,,,18237.34,16.7,59,15,0,34409,218900
Fully Paid,695332,Long Term,,,41911.34,21.5,NA,14,0,839534,1257542
Fully Paid,99999999,Short Term,721,1249459,29570.27,22.7,7,11,0,506255,620950
Fully Paid,174724,Short Term,,,35690.74,19.8,53,21,0,908542,1175438
Fully Paid,259160,Short Term,,,16538.36,33,NA,14,1,166383,370480
Fully Paid,99999999,Short Term,736,1349551,3992.28,13,NA,11,1,151050,705254
Fully Paid,99999999,Short Term,728,1165194,21653.16,13.1,NA,10,0,348004,451748
Fully Paid,109252,Short Term,,,5019.61,35.9,0,13,NA,15333,1776434
Fully Paid,163064,Short Term,715,1032783,4526.94,16.5,NA,8,1,81168,451902
Charged Off,361746,Short Term,,,22110.3,7.4,11,7,0,62624,237732
Charged Off,595716,Long Term,,,26740.41,26.9,3,14,0,321537,558162
Fully Paid,176726,Short Term,709,1526232,34086,19.6,28,11,0,223459,415316
Fully Paid,269566,Short Term,,,9484.99,8.9,NA,8,0,162792,308506
Fully Paid,32054,Short Term,,,36308.24,27.5,NA,19,0,1110797,14133988
Fully Paid,777788,Long Term,723,2303028,19095.95,21.6,35,6,0,646399,1054174
Charged Off,248842,Short Term,711,538688,13557.07,18,67,6,0,30210,174856
Fully Paid,69212,Short Term,694,298870,5952.32,20.7,NA,6,1,32167,140536
Fully Paid,215842,Short Term,742,705109,14454.63,10.9,NA,6,0,189544,361570
Fully Paid,425810,Short Term,740,1793695,28699.12,19.9,40,14,0,1268725,2253152
Fully Paid,109054,Short Term,739,1845983,20721.21,13.8,NA,10,1,145160,325094
Fully Paid,99999999,Short Term,751,2124352,17030.27,22.4,65,10,0,370481,854546
Fully Paid,143946,Short Term,747,1167759,30945.49,18.6,36,31,0,595916,2674430
Charged Off,140536,Short Term,666,784282,7516.02,12.4,64,5,0,36499,43274
Charged Off,232254,Short Term,,,6718.02,15.6,17,6,0,192375,405020
Fully Paid,218042,Short Term,,,11700.2,8.3,NA,7,0,111093,198528
Charged Off,52250,Short Term,716,545262,10042.07,7.9,21,11,0,90383,150150
Charged Off,162008,Short Term,,,6704.53,15.4,NA,6,0,279129,359942
Fully Paid,457006,Short Term,704,1127688,20580.23,28.6,NA,9,0,465177,585442
Fully Paid,141966,Short Term,726,631921,7477.83,9,22,8,0,26942,76450
Fully Paid,323598,Short Term,,,10418.08,8.2,NA,8,0,125001,250404
Charged Off,488664,Short Term,707,1338246,10482.87,22,NA,9,1,239324,550902
Fully Paid,336600,Short Term,741,1356600,15940.05,19.8,23,15,0,131632,419870
Fully Paid,411840,Long Term,,,22249.19,17.1,NA,14,0,677559,819808
Fully Paid,196240,Short Term,712,1318163,13071.81,27,5,7,0,568822,772156
Fully Paid,254826,Short Term,,,13491.52,14.1,NA,5,0,13167,97724
Charged Off,434588,Long Term,718,835088,14683.39,28.6,NA,14,0,436012,741334
Charged Off,112706,Short Term,,,8494.14,19.7,52,6,0,21109,108108
Fully Paid,266772,Short Term,720,1555169,5235.64,13.3,NA,5,0,203319,266926
Fully Paid,169686,Short Term,725,1183947,14207.44,16.4,61,11,0,256367,530068
Fully Paid,753830,Short Term,715,4464240,44642.4,17.9,45,16,0,233833,815518
Fully Paid,86174,Short Term,725,930240,18217.2,19.7,15,12,0,50521,198264
Fully Paid,99999999,Long Term,729,948765,15101.2,15.5,NA,9,0,327446,577082
Fully Paid,166958,Short Term,727,1153566,18456.98,20.8,79,9,0,341164,427548
Fully Paid,589534,Long Term,720,1652297,30154.52,18.1,NA,7,0,151278,200200
Fully Paid,172568,Short Term,750,652042,3482.89,18.4,NA,8,0,168758,690514
Fully Paid,99999999,Short Term,745,1498112,42446.57,13.8,NA,21,0,287147,498498
Fully Paid,175494,Short Term,743,1705041,11807.36,16,13,27,0,48146,201960
Fully Paid,528000,Long Term,712,4275000,50587.5,19.7,37,16,0,139821,595210
